AÑO;MES;DIA;HORA;IDEAM
2006;1;12;7;2.052.367.784
2006;1;12;8;1.663.498.099
2006;1;12;9;3.467.421.362
2006;1;12;10;5.876.253.025
2006;1;12;11;7.118.475.631
2006;1;12;12;7.982.630.487
2006;1;12;13;8.382.302.109
2006;1;12;14;6.206.364.212
2006;1;12;15;6.589.180.781
2006;1;12;16;4.860.871.068
2006;1;12;17;2.765.295.541
2006;1;12;18;6.805.219.495
2006;1;12;19;0
2006;1;12;20;0
2006;1;12;21;0
2006;1;12;22;0
2006;1;12;23;0
2006;1;13;0;0
2006;1;13;1;0
2006;1;13;2;0
2006;1;13;3;0
2006;1;13;4;0
2006;1;13;5;0
2006;1;13;6;0
2006;1;13;7;1.728.309.713
2006;1;13;8;1.058.589.699
2006;1;13;9;3.208.174.905
2006;1;13;10;5.303.750.432
2006;1;13;11;6.880.833.045
2006;1;13;12;7.917.818.873
2006;1;13;13;8.187.867.266
2006;1;13;14;7.669.374.352
2006;1;13;15;6.513.567.231
2006;1;13;16;4.742.049.775
2006;1;13;17;2.646.474.248
2006;1;13;18;626.512.271
2006;1;13;19;0
2006;1;13;20;0
2006;1;13;21;0
2006;1;13;22;0
2006;1;13;23;0
2006;1;14;0;0
2006;1;14;1;0
2006;1;14;2;0
2006;1;14;3;0
2006;1;14;4;0
2006;1;14;5;0
2006;1;14;6;0
2006;1;14;7;2.160.387.141
2006;1;14;8;1.512.270.999
2006;1;14;9;213.878.327
2006;1;14;10;3.661.856.205
2006;1;14;11;5.541.393.018
2006;1;14;12;618.950.916
2006;1;14;13;6.956.446.595
2006;1;14;14;694.564.466
2006;1;14;15;6.708.002.074
2006;1;14;16;4.623.228.483
2006;1;14;17;2.376.425.856
2006;1;14;18;5.508.987.211
2006;1;14;19;0
2006;1;14;20;0
2006;1;14;21;0
2006;1;14;22;0
2006;1;14;23;0
2006;1;15;0;0
2006;1;15;1;0
2006;1;15;2;0
2006;1;15;3;0
2006;1;15;4;0
2006;1;15;5;0
2006;1;15;6;0
2006;1;15;7;1.512.270.999
2006;1;15;8;9.073.625.994
2006;1;15;9;2.549.256.827
2006;1;15;10;4.904.078.811
2006;1;15;11;6.653.992.395
2006;1;15;12;7.626.166.609
2006;1;15;13;802.583.823
2006;1;15;14;7.431.731.766
2006;1;15;15;6.394.745.938
2006;1;15;16;4.472.001.383
2006;1;15;17;2.624.870.377
2006;1;15;18;6.373.142.067
2006;1;15;19;0
2006;1;15;20;0
2006;1;15;21;0
2006;1;15;22;0
2006;1;15;23;0
2006;1;16;0;0
2006;1;16;1;0
2006;1;16;2;0
2006;1;16;3;0
2006;1;16;4;0
2006;1;16;5;0
2006;1;16;6;0
2006;1;16;7;1.620.290.356
2006;1;16;8;1.393.449.706
2006;1;16;9;266.807.812
2006;1;16;10;3.326.996.198
2006;1;16;11;4.979.692.361
2006;1;16;12;7.831.403.387
2006;1;16;13;8.133.857.587
2006;1;16;14;7.712.582.095
2006;1;16;15;649.196.336
2006;1;16;16;4.709.643.968
2006;1;16;17;2.657.276.184
